time,local_time,radiation_surface
01/01/2019 00:00,01/01/2019 00:00,0
01/01/2019 01:00,01/01/2019 01:00,0
01/01/2019 02:00,01/01/2019 02:00,0
01/01/2019 03:00,01/01/2019 03:00,0
01/01/2019 04:00,01/01/2019 04:00,0
01/01/2019 05:00,01/01/2019 05:00,0
01/01/2019 06:00,01/01/2019 06:00,0
01/01/2019 07:00,01/01/2019 07:00,0
01/01/2019 08:00,01/01/2019 08:00,4.756
01/01/2019 09:00,01/01/2019 09:00,33.912
01/01/2019 10:00,01/01/2019 10:00,67.379
01/01/2019 11:00,01/01/2019 11:00,109.182
01/01/2019 12:00,01/01/2019 12:00,124.473
01/01/2019 13:00,01/01/2019 13:00,126.275
01/01/2019 14:00,01/01/2019 14:00,80.744
01/01/2019 15:00,01/01/2019 15:00,23.266
01/01/2019 16:00,01/01/2019 16:00,0
01/01/2019 17:00,01/01/2019 17:00,0
01/01/2019 18:00,01/01/2019 18:00,0
01/01/2019 19:00,01/01/2019 19:00,0
01/01/2019 20:00,01/01/2019 20:00,0
01/01/2019 21:00,01/01/2019 21:00,0
01/01/2019 22:00,01/01/2019 22:00,0
01/01/2019 23:00,01/01/2019 23:00,0
02/01/2019 00:00,02/01/2019 00:00,0
02/01/2019 01:00,02/01/2019 01:00,0
02/01/2019 02:00,02/01/2019 02:00,0
02/01/2019 03:00,02/01/2019 03:00,0
02/01/2019 04:00,02/01/2019 04:00,0
02/01/2019 05:00,02/01/2019 05:00,0
02/01/2019 06:00,02/01/2019 06:00,0
02/01/2019 07:00,02/01/2019 07:00,0
02/01/2019 08:00,02/01/2019 08:00,17.276
02/01/2019 09:00,02/01/2019 09:00,99.342
02/01/2019 10:00,02/01/2019 10:00,182.108
02/01/2019 11:00,02/01/2019 11:00,218.917
02/01/2019 12:00,02/01/2019 12:00,217.602
02/01/2019 13:00,02/01/2019 13:00,177.322
02/01/2019 14:00,02/01/2019 14:00,107.429
02/01/2019 15:00,02/01/2019 15:00,27.301
02/01/2019 16:00,02/01/2019 16:00,0
02/01/2019 17:00,02/01/2019 17:00,0
02/01/2019 18:00,02/01/2019 18:00,0
02/01/2019 19:00,02/01/2019 19:00,0
02/01/2019 20:00,02/01/2019 20:00,0
02/01/2019 21:00,02/01/2019 21:00,0
02/01/2019 22:00,02/01/2019 22:00,0
02/01/2019 23:00,02/01/2019 23:00,0
03/01/2019 00:00,03/01/2019 00:00,0
03/01/2019 01:00,03/01/2019 01:00,0
03/01/2019 02:00,03/01/2019 02:00,0
03/01/2019 03:00,03/01/2019 03:00,0
03/01/2019 04:00,03/01/2019 04:00,0
03/01/2019 05:00,03/01/2019 05:00,0
03/01/2019 06:00,03/01/2019 06:00,0
03/01/2019 07:00,03/01/2019 07:00,0
03/01/2019 08:00,03/01/2019 08:00,15.533
03/01/2019 09:00,03/01/2019 09:00,84.081
03/01/2019 10:00,03/01/2019 10:00,156.438
03/01/2019 11:00,03/01/2019 11:00,201.29
03/01/2019 12:00,03/01/2019 12:00,181.382
03/01/2019 13:00,03/01/2019 13:00,141.759
03/01/2019 14:00,03/01/2019 14:00,88.466
03/01/2019 15:00,03/01/2019 15:00,25.41
03/01/2019 16:00,03/01/2019 16:00,0
03/01/2019 17:00,03/01/2019 17:00,0
03/01/2019 18:00,03/01/2019 18:00,0
03/01/2019 19:00,03/01/2019 19:00,0
03/01/2019 20:00,03/01/2019 20:00,0
03/01/2019 21:00,03/01/2019 21:00,0
03/01/2019 22:00,03/01/2019 22:00,0
03/01/2019 23:00,03/01/2019 23:00,0
04/01/2019 00:00,04/01/2019 00:00,0
04/01/2019 01:00,04/01/2019 01:00,0
04/01/2019 02:00,04/01/2019 02:00,0
04/01/2019 03:00,04/01/2019 03:00,0
04/01/2019 04:00,04/01/2019 04:00,0
04/01/2019 05:00,04/01/2019 05:00,0
04/01/2019 06:00,04/01/2019 06:00,0
04/01/2019 07:00,04/01/2019 07:00,0
04/01/2019 08:00,04/01/2019 08:00,19.675
04/01/2019 09:00,04/01/2019 09:00,89.396
04/01/2019 10:00,04/01/2019 10:00,142.285
04/01/2019 11:00,04/01/2019 11:00,182.115
04/01/2019 12:00,04/01/2019 12:00,183.574
04/01/2019 13:00,04/01/2019 13:00,154.259
04/01/2019 14:00,04/01/2019 14:00,117.507
04/01/2019 15:00,04/01/2019 15:00,33.643
04/01/2019 16:00,04/01/2019 16:00,0
04/01/2019 17:00,04/01/2019 17:00,0
04/01/2019 18:00,04/01/2019 18:00,0
04/01/2019 19:00,04/01/2019 19:00,0
04/01/2019 20:00,04/01/2019 20:00,0
04/01/2019 21:00,04/01/2019 21:00,0
04/01/2019 22:00,04/01/2019 22:00,0
04/01/2019 23:00,04/01/2019 23:00,0
05/01/2019 00:00,05/01/2019 00:00,0
05/01/2019 01:00,05/01/2019 01:00,0
05/01/2019 02:00,05/01/2019 02:00,0
05/01/2019 03:00,05/01/2019 03:00,0
05/01/2019 04:00,05/01/2019 04:00,0
05/01/2019 05:00,05/01/2019 05:00,0
05/01/2019 06:00,05/01/2019 06:00,0
05/01/2019 07:00,05/01/2019 07:00,0
05/01/2019 08:00,05/01/2019 08:00,13.673
05/01/2019 09:00,05/01/2019 09:00,70.208
05/01/2019 10:00,05/01/2019 10:00,137.913
05/01/2019 11:00,05/01/2019 11:00,177.799
05/01/2019 12:00,05/01/2019 12:00,182.012
05/01/2019 13:00,05/01/2019 13:00,152.939
05/01/2019 14:00,05/01/2019 14:00,93.669
05/01/2019 15:00,05/01/2019 15:00,24.357
05/01/2019 16:00,05/01/2019 16:00,0
05/01/2019 17:00,05/01/2019 17:00,0
05/01/2019 18:00,05/01/2019 18:00,0
05/01/2019 19:00,05/01/2019 19:00,0
05/01/2019 20:00,05/01/2019 20:00,0
05/01/2019 21:00,05/01/2019 21:00,0
05/01/2019 22:00,05/01/2019 22:00,0
05/01/2019 23:00,05/01/2019 23:00,0
06/01/2019 00:00,06/01/2019 00:00,0
06/01/2019 01:00,06/01/2019 01:00,0
06/01/2019 02:00,06/01/2019 02:00,0
06/01/2019 03:00,06/01/2019 03:00,0
06/01/2019 04:00,06/01/2019 04:00,0
06/01/2019 05:00,06/01/2019 05:00,0
06/01/2019 06:00,06/01/2019 06:00,0
06/01/2019 07:00,06/01/2019 07:00,0
06/01/2019 08:00,06/01/2019 08:00,10.39
06/01/2019 09:00,06/01/2019 09:00,53.191
06/01/2019 10:00,06/01/2019 10:00,78.517
06/01/2019 11:00,06/01/2019 11:00,76.504
06/01/2019 12:00,06/01/2019 12:00,96.479
06/01/2019 13:00,06/01/2019 13:00,88.767
06/01/2019 14:00,06/01/2019 14:00,59.625
06/01/2019 15:00,06/01/2019 15:00,15.631
06/01/2019 16:00,06/01/2019 16:00,0
06/01/2019 17:00,06/01/2019 17:00,0
06/01/2019 18:00,06/01/2019 18:00,0
06/01/2019 19:00,06/01/2019 19:00,0
06/01/2019 20:00,06/01/2019 20:00,0
06/01/2019 21:00,06/01/2019 21:00,0
06/01/2019 22:00,06/01/2019 22:00,0
06/01/2019 23:00,06/01/2019 23:00,0
07/01/2019 00:00,07/01/2019 00:00,0
07/01/2019 01:00,07/01/2019 01:00,0
07/01/2019 02:00,07/01/2019 02:00,0
07/01/2019 03:00,07/01/2019 03:00,0
07/01/2019 04:00,07/01/2019 04:00,0
07/01/2019 05:00,07/01/2019 05:00,0
07/01/2019 06:00,07/01/2019 06:00,0
07/01/2019 07:00,07/01/2019 07:00,0
07/01/2019 08:00,07/01/2019 08:00,6.463
07/01/2019 09:00,07/01/2019 09:00,38.655
07/01/2019 10:00,07/01/2019 10:00,72.823
07/01/2019 11:00,07/01/2019 11:00,92.44
07/01/2019 12:00,07/01/2019 12:00,114.41
07/01/2019 13:00,07/01/2019 13:00,99.584
07/01/2019 14:00,07/01/2019 14:00,76.801
07/01/2019 15:00,07/01/2019 15:00,18.3
07/01/2019 16:00,07/01/2019 16:00,0.001
07/01/2019 17:00,07/01/2019 17:00,0
07/01/2019 18:00,07/01/2019 18:00,0
07/01/2019 19:00,07/01/2019 19:00,0
07/01/2019 20:00,07/01/2019 20:00,0
07/01/2019 21:00,07/01/2019 21:00,0
07/01/2019 22:00,07/01/2019 22:00,0
07/01/2019 23:00,07/01/2019 23:00,0
08/01/2019 00:00,08/01/2019 00:00,0
08/01/2019 01:00,08/01/2019 01:00,0
08/01/2019 02:00,08/01/2019 02:00,0
08/01/2019 03:00,08/01/2019 03:00,0
08/01/2019 04:00,08/01/2019 04:00,0
08/01/2019 05:00,08/01/2019 05:00,0
08/01/2019 06:00,08/01/2019 06:00,0
08/01/2019 07:00,08/01/2019 07:00,0
08/01/2019 08:00,08/01/2019 08:00,10.474
08/01/2019 09:00,08/01/2019 09:00,53.503
08/01/2019 10:00,08/01/2019 10:00,150.006
08/01/2019 11:00,08/01/2019 11:00,228.453
08/01/2019 12:00,08/01/2019 12:00,245.289
08/01/2019 13:00,08/01/2019 13:00,209.493
08/01/2019 14:00,08/01/2019 14:00,131.943
08/01/2019 15:00,08/01/2019 15:00,37.472
08/01/2019 16:00,08/01/2019 16:00,0.006
08/01/2019 17:00,08/01/2019 17:00,0
08/01/2019 18:00,08/01/2019 18:00,0
08/01/2019 19:00,08/01/2019 19:00,0
08/01/2019 20:00,08/01/2019 20:00,0
08/01/2019 21:00,08/01/2019 21:00,0
08/01/2019 22:00,08/01/2019 22:00,0
08/01/2019 23:00,08/01/2019 23:00,0
09/01/2019 00:00,09/01/2019 00:00,0
09/01/2019 01:00,09/01/2019 01:00,0
09/01/2019 02:00,09/01/2019 02:00,0
09/01/2019 03:00,09/01/2019 03:00,0
09/01/2019 04:00,09/01/2019 04:00,0
09/01/2019 05:00,09/01/2019 05:00,0
